[22.03.21 23:37:31] ınfo: Program: Starting Squirrel Updater: --releasify ScreenSharingApp.1.0.1.nupkg
[22.03.21 23:37:31] ınfo: Program: Bootstrapper EXE found at:D:\Projelerim\Github\ScreenSharingApp\ScreenSharing_Desktop\ScreenSharing_Desktop\packages\squirrel.windows.2.0.1\tools\Setup.exe
[22.03.21 23:37:31] ınfo: Program: Creating release package: D:\Projelerim\Github\ScreenSharingApp\ScreenSharing_Desktop\ScreenSharing_Desktop\Releases\ScreenSharingApp.1.0.1.nupkg
[22.03.21 23:37:31] ınfo: ReleasePackage: Creating release package: D:\Projelerim\Github\ScreenSharingApp\ScreenSharing_Desktop\ScreenSharing_Desktop\Releases\ScreenSharingApp.1.0.1.nupkg => D:\Projelerim\Github\ScreenSharingApp\ScreenSharing_Desktop\ScreenSharing_Desktop\Releases\ScreenSharingApp-1.0.1-full.nupkg
[22.03.21 23:37:34] ınfo: ReleasePackage: Extracting dependent packages: []
[22.03.21 23:37:34] ınfo: ReleasePackage: Removing unnecessary data
[22.03.21 23:37:34] ınfo: ReleasePackage: No release notes found in C:\Users\CDS_Software02\AppData\Local\SquirrelTemp\tempa\ScreenSharingApp.nuspec
[22.03.21 23:37:37] ınfo: Program: Building embedded zip file for Setup.exe
[22.03.21 23:38:09] ınfo: Program: Finished Squirrel Updater
[24.03.21 13:28:16] ınfo: Program: Starting Squirrel Updater: --releasify ScreenSharingApp.1.0.2.nupkg
[24.03.21 13:28:16] ınfo: Program: Bootstrapper EXE found at:D:\Projelerim\Github\ScreenSharingApp\ScreenSharing_Desktop\ScreenSharing_Desktop\packages\squirrel.windows.2.0.1\tools\Setup.exe
[24.03.21 13:28:16] ınfo: Program: Creating release package: D:\Projelerim\Github\ScreenSharingApp\ScreenSharing_Desktop\ScreenSharing_Desktop\Releases\ScreenSharingApp.1.0.2.nupkg
[24.03.21 13:28:16] ınfo: ReleasePackage: Creating release package: D:\Projelerim\Github\ScreenSharingApp\ScreenSharing_Desktop\ScreenSharing_Desktop\Releases\ScreenSharingApp.1.0.2.nupkg => D:\Projelerim\Github\ScreenSharingApp\ScreenSharing_Desktop\ScreenSharing_Desktop\Releases\ScreenSharingApp-1.0.2-full.nupkg
[24.03.21 13:28:19] ınfo: ReleasePackage: Extracting dependent packages: []
[24.03.21 13:28:19] ınfo: ReleasePackage: Removing unnecessary data
[24.03.21 13:28:19] ınfo: ReleasePackage: No release notes found in C:\Users\CDS_Software02\AppData\Local\SquirrelTemp\tempa\ScreenSharingApp.nuspec
[24.03.21 13:28:22] ınfo: DeltaPackageBuilder: Extracting .\Releases\ScreenSharingApp-1.0.1-full.nupkg and D:\Projelerim\Github\ScreenSharingApp\ScreenSharing_Desktop\ScreenSharing_Desktop\Releases\ScreenSharingApp-1.0.2-full.nupkg into C:\Users\CDS_Software02\AppData\Local\SquirrelTemp\tempb
[24.03.21 13:28:23] ınfo: DeltaPackageBuilder: \lib\net45\DeltaCompressionDotNet.dll hasn't changed, writing dummy file
[24.03.21 13:28:23] ınfo: DeltaPackageBuilder: \lib\net45\DeltaCompressionDotNet.MsDelta.dll hasn't changed, writing dummy file
[24.03.21 13:28:23] ınfo: DeltaPackageBuilder: \lib\net45\DeltaCompressionDotNet.PatchApi.dll hasn't changed, writing dummy file
[24.03.21 13:28:24] ınfo: DeltaPackageBuilder: \lib\net45\Emgu.CV.UI.dll hasn't changed, writing dummy file
[24.03.21 13:28:24] ınfo: DeltaPackageBuilder: \lib\net45\Emgu.CV.UI.GL.dll hasn't changed, writing dummy file
[24.03.21 13:28:24] ınfo: DeltaPackageBuilder: \lib\net45\Emgu.CV.World.dll hasn't changed, writing dummy file
[24.03.21 13:28:24] ınfo: DeltaPackageBuilder: \lib\net45\Mono.Cecil.dll hasn't changed, writing dummy file
[24.03.21 13:28:24] ınfo: DeltaPackageBuilder: \lib\net45\Mono.Cecil.Mdb.dll hasn't changed, writing dummy file
[24.03.21 13:28:24] ınfo: DeltaPackageBuilder: \lib\net45\Mono.Cecil.Pdb.dll hasn't changed, writing dummy file
[24.03.21 13:28:24] ınfo: DeltaPackageBuilder: \lib\net45\Mono.Cecil.Rocks.dll hasn't changed, writing dummy file
[24.03.21 13:28:24] ınfo: DeltaPackageBuilder: \lib\net45\NuGet.Squirrel.dll hasn't changed, writing dummy file
[24.03.21 13:28:24] ınfo: DeltaPackageBuilder: \lib\net45\OpenTK.dll hasn't changed, writing dummy file
[24.03.21 13:28:24] ınfo: DeltaPackageBuilder: \lib\net45\OpenTK.GLControl.dll hasn't changed, writing dummy file
[24.03.21 13:28:24] ınfo: DeltaPackageBuilder: \lib\net45\ScreenCapturer.dll hasn't changed, writing dummy file
[24.03.21 13:28:24] ınfo: DeltaPackageBuilder: Delta patching C:\Users\CDS_Software02\AppData\Local\SquirrelTemp\tempa\lib\net45\ScreenSharing_Desktop.exe => C:\Users\CDS_Software02\AppData\Local\SquirrelTemp\tempb\lib\net45\ScreenSharing_Desktop.exe
[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: \lib\net45\ScreenSharing_Desktop.exe.config hasn't changed, writing dummy file
[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: Delta patching C:\Users\CDS_Software02\AppData\Local\SquirrelTemp\tempa\lib\net45\ScreenSharing_Desktop_ExecutionStub.exe => C:\Users\CDS_Software02\AppData\Local\SquirrelTemp\tempb\lib\net45\ScreenSharing_Desktop_ExecutionStub.exe
[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: \lib\net45\SharpCompress.dll hasn't changed, writing dummy file
[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: \lib\net45\SharpDX.Direct3D11.dll hasn't changed, writing dummy file
[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: \lib\net45\SharpDX.dll hasn't changed, writing dummy file
[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: \lib\net45\SharpDX.DXGI.dll hasn't changed, writing dummy file
